count=79
z=3.3.6.6	claimed=7	n=3	chambers=24	sigs=List(3.3.6.6, 3.6.3.6, 3.3.6.6)	regularOrbits=1,2,3	irregularOrbits=0	key=2,3,2,3|4;1,4,1,3|4;5,1,6,3|4;7,2,8,3|4;3,7,9,3|4;9,10,3,6|4;4,5,11,3|4;11,12,4,6|4;6,13,5,6|4;14,6,12,6|4;8,15,7,6|4;16,8,10,6|4;17,9,18,6|4;10,17,16,6|4;19,11,20,6|4;12,19,14,6|4;13,14,21,6|4;21,20,13,3|4;15,16,22,6|4;22,18,15,3|4;18,23,17,3|4;20,24,19,3|4;24,21,24,3|4;23,22,23,3|4;
z=3.3.6.6	claimed=7	n=3	chambers=24	sigs=List(3.3.6.6, 3.6.3.6, 3.3.6.6)	regularOrbits=0,1,2	irregularOrbits=3	key=2,3,2,6|4;1,4,1,6|4;5,1,6,6|4;7,2,8,6|4;3,7,9,6|4;9,10,3,3|4;4,5,11,6|4;11,12,4,3|4;6,13,5,3|4;14,6,12,3|4;8,15,7,3|4;16,8,10,3|4;17,9,18,3|4;10,17,16,3|4;19,11,20,3|4;12,19,14,3|4;13,14,21,3|4;21,20,13,6|4;15,16,22,3|4;22,18,15,6|4;18,23,17,6|4;20,24,19,6|4;24,21,24,6|4;23,22,23,6|4;
z=3.3.6.6	claimed=7	n=3	chambers=24	sigs=List(3.3.6.6, 3.6.3.6, 3.3.6.6)	regularOrbits=1,2,3	irregularOrbits=0	key=2,3,2,6|4;1,4,1,6|4;5,1,6,6|4;7,2,8,6|4;3,7,9,6|4;9,10,3,3|4;4,5,11,6|4;11,12,4,3|4;6,13,5,3|4;14,6,12,3|4;8,15,7,3|4;16,8,10,3|4;17,9,18,3|4;10,17,16,3|4;19,11,20,3|4;12,19,14,3|4;13,14,21,3|4;21,20,13,6|4;15,16,22,3|4;22,18,15,6|4;18,23,17,6|4;20,24,19,6|4;24,21,24,6|4;23,22,23,6|4;
z=3.3.6.6	claimed=7	n=3	chambers=24	sigs=List(3.3.6.6, 3.3.6.3.6, 3.6.6)	regularOrbits=0,1,2	irregularOrbits=3	key=2,3,2,3|4;1,4,1,3|4;5,1,6,3|4;7,2,8,3|4;3,7,9,3|5;9,10,3,6|4;4,5,11,3|5;11,12,4,6|4;6,13,5,6|5;14,6,12,6|4;8,15,7,6|5;16,8,10,6|4;17,9,18,6|5;10,17,16,6|3;19,11,20,6|5;12,19,14,6|3;13,14,21,6|3;21,22,13,3|5;15,16,23,6|3;23,24,15,3|5;18,23,17,3|3;24,18,24,3|5;20,21,19,3|3;22,20,22,3|5;
z=3.3.6.6	claimed=7	n=3	chambers=24	sigs=List(3.3.6.6, 3.6.3.6.6, 3.3.6)	regularOrbits=0,1,2	irregularOrbits=3	key=2,3,2,6|4;1,4,1,6|4;5,1,6,6|4;7,2,8,6|4;3,7,9,6|5;9,10,3,3|4;4,5,11,6|5;11,12,4,3|4;6,13,5,3|5;14,6,12,3|4;8,15,7,3|5;16,8,10,3|4;17,9,18,3|5;10,17,16,3|3;19,11,20,3|5;12,19,14,3|3;13,14,21,3|3;21,22,13,6|5;15,16,23,3|3;23,24,15,6|5;18,23,17,6|3;24,18,24,6|5;20,21,19,6|3;22,20,22,6|5;
z=3.3.6.6	claimed=7	n=3	chambers=22	sigs=List(3.3.6.6, 3.6.4.6, 4.6.6)	regularOrbits=0,1	irregularOrbits=2	key=2,3,2,3|4;1,4,1,3|4;5,1,6,3|4;7,2,8,3|4;3,7,9,3|4;9,10,3,6|4;4,5,11,3|4;11,12,4,6|4;6,13,5,6|4;14,6,12,6|4;8,15,7,6|4;16,8,10,6|4;17,9,18,6|4;10,19,16,6|3;19,11,20,6|4;12,17,14,6|3;13,16,21,6|3;21,20,13,4|4;15,14,22,6|3;22,18,15,4|4;18,22,17,4|3;20,21,19,4|3;
z=3.3.6.6	claimed=7	n=3	chambers=24	sigs=List(3.3.6.6, 3.6.3.6, 3.3.6.6)	regularOrbits=0,1	irregularOrbits=2	key=2,3,2,3|4;1,4,1,3|4;5,1,6,3|4;7,2,8,3|4;3,7,9,3|4;9,10,3,6|4;4,5,11,3|4;11,12,4,6|4;6,13,5,6|4;14,6,12,6|4;8,15,7,6|4;16,8,10,6|4;17,9,18,6|4;10,19,16,6|4;19,11,20,6|4;12,17,14,6|4;13,16,21,6|4;21,20,13,3|4;15,14,22,6|4;22,18,15,3|4;18,23,17,3|4;20,24,19,3|4;24,21,24,3|4;23,22,23,3|4;
z=3.3.6.6	claimed=7	n=3	chambers=24	sigs=List(3.3.6.6, 3.6.3.6, 3.3.6.6)	regularOrbits=1,2	irregularOrbits=0	key=2,3,2,3|4;1,4,1,3|4;5,1,6,3|4;7,2,8,3|4;3,7,9,3|4;9,10,3,6|4;4,5,11,3|4;11,12,4,6|4;6,13,5,6|4;14,6,12,6|4;8,15,7,6|4;16,8,10,6|4;17,9,18,6|4;10,19,16,6|4;19,11,20,6|4;12,17,14,6|4;13,16,21,6|4;21,20,13,3|4;15,14,22,6|4;22,18,15,3|4;18,23,17,3|4;20,24,19,3|4;24,21,24,3|4;23,22,23,3|4;
z=3.3.6.6	claimed=7	n=3	chambers=24	sigs=List(3.3.6.6, 3.3.6.3.6, 3.6.6)	regularOrbits=0,1	irregularOrbits=2	key=2,3,2,3|4;1,4,1,3|4;5,1,6,3|4;7,2,8,3|4;3,7,9,3|5;9,10,3,6|4;4,5,11,3|5;11,12,4,6|4;6,13,5,6|5;14,6,12,6|4;8,15,7,6|5;16,8,10,6|4;17,9,18,6|5;10,19,16,6|3;19,11,20,6|5;12,17,14,6|3;13,16,21,6|3;21,22,13,3|5;15,14,23,6|3;23,24,15,3|5;18,23,17,3|3;24,18,24,3|5;20,21,19,3|3;22,20,22,3|5;
z=3.4.4.6	claimed=3	n=3	chambers=24	sigs=List(3.4.4.6, 3.4.4.6.4, 3.4.6)	regularOrbits=0,1,2	irregularOrbits=3	key=2,3,2,4|4;1,4,1,4|4;5,1,6,4|4;7,2,8,4|4;3,9,10,4|5;10,11,3,3|4;4,12,13,4|5;13,14,4,6|4;12,5,12,4|5;6,15,5,3|5;16,6,14,3|4;9,7,9,4|5;8,17,7,6|5;18,8,11,6|4;19,10,20,3|5;11,19,18,3|3;21,13,22,6|5;14,21,16,6|3;15,16,23,3|3;23,22,15,4|5;17,18,24,6|3;24,20,17,4|5;20,24,19,4|3;22,23,21,4|3;
z=3.4.4.6	claimed=3	n=3	chambers=22	sigs=List(3.4.4.6, 3.6.4.12, 3.4.12)	regularOrbits=0,1,2	irregularOrbits=3	key=2,3,2,4|4;1,4,1,4|4;5,1,6,4|4;7,2,8,4|4;3,9,10,4|3;10,11,3,3|4;4,12,13,4|4;13,14,4,6|4;12,5,15,4|3;6,16,5,3|3;17,6,14,3|4;9,7,18,4|4;8,19,7,6|4;19,8,11,6|4;18,20,9,12|3;21,10,20,3|3;11,21,19,3|4;15,22,12,12|4;14,13,17,6|4;22,15,16,12|3;16,17,22,3|4;20,18,21,12|4;
z=3.4.4.6	claimed=3	n=3	chambers=24	sigs=List(3.4.4.6, 3.4.4.6.4, 3.4.6)	regularOrbits=0,1,2,3	irregularOrbits=4	key=2,3,4,3|3;1,5,6,3|4;7,1,8,3|3;6,9,1,6|3;10,2,11,3|4;4,12,2,6|4;3,10,13,3|5;13,14,3,4|3;15,4,14,6|3;5,7,16,3|5;16,17,5,4|4;18,6,19,6|4;8,20,7,4|5;20,8,9,4|3;9,18,20,6|5;11,21,10,4|5;21,11,22,4|4;12,15,23,6|5;23,22,12,4|4;14,13,15,4|5;17,16,24,4|5;24,19,17,4|4;19,24,18,4|5;22,23,21,4|5;
z=3.3.6.6	claimed=7	n=3	chambers=24	sigs=List(3.3.6.6, 3.6.3.6.6, 3.3.6)	regularOrbits=0,1,2,3	irregularOrbits=4	key=2,3,4,3|3;1,5,6,3|4;7,1,8,3|3;6,9,1,3|3;10,2,11,3|4;4,12,2,3|4;3,10,13,3|5;13,14,3,6|3;15,4,14,3|3;5,7,16,3|5;16,17,5,6|4;18,6,19,3|4;8,20,7,6|5;20,8,9,6|3;9,18,20,3|5;11,21,10,6|5;21,11,22,6|4;12,15,23,3|5;23,22,12,6|4;14,13,15,6|5;17,16,24,6|5;24,19,17,6|4;19,24,18,6|5;22,23,21,6|5;
z=3.3.4.12	claimed=4	n=3	chambers=24	sigs=List(3.3.4.12, 3.4.12.3.6, 3.3.6)	regularOrbits=0,1,2,3	irregularOrbits=4	key=2,3,4,12|4;1,5,6,12|5;5,1,7,12|4;6,8,1,3|4;3,2,9,12|5;4,10,2,3|5;9,11,3,4|4;12,4,13,3|4;7,14,5,4|5;15,6,16,3|5;14,7,17,4|4;8,15,18,3|3;18,17,8,3|4;11,9,19,4|5;10,12,20,3|3;20,21,10,6|5;19,13,11,3|4;13,22,12,3|3;17,23,14,3|5;16,24,15,6|3;24,16,23,6|5;23,18,24,3|3;22,19,21,3|5;21,20,22,6|3;
z=3.4.4.6	claimed=3	n=3	chambers=24	sigs=List(3.4.6, 3.4.4.6.4, 3.4.4.6)	regularOrbits=1,2,3	irregularOrbits=0	key=2,3,4,3|3;1,5,6,3|4;7,1,8,3|3;6,9,1,6|3;10,2,11,3|4;4,12,2,6|4;3,10,13,3|5;13,14,3,4|3;15,4,14,6|3;5,7,16,3|5;16,17,5,4|4;18,6,19,6|4;8,20,7,4|5;20,8,9,4|3;9,18,20,6|5;11,21,10,4|5;22,11,23,4|4;12,15,24,6|5;24,23,12,4|4;14,13,15,4|5;23,16,22,4|5;17,24,21,4|5;21,19,17,4|4;19,22,18,4|5;
z=3.4.3.12	claimed=3	n=3	chambers=24	sigs=List(3.6.3.12, 3.4.3.12, 3.4.3.6)	regularOrbits=0,1,2,4	irregularOrbits=3	key=2,3,4,12|4;1,5,6,12|4;5,1,7,12|4;6,8,1,3|4;3,2,9,12|4;4,10,2,3|4;9,11,3,3|4;12,4,13,3|4;7,14,5,3|4;15,6,16,3|4;17,7,18,3|4;8,15,19,3|4;19,18,8,4|4;20,9,21,3|4;10,12,22,3|4;22,21,10,6|4;11,20,23,3|4;23,13,11,4|4;13,23,12,4|4;14,17,24,3|4;24,16,14,6|4;16,24,15,6|4;18,19,17,4|4;21,22,20,6|4;
z=3.3.4.12	claimed=4	n=3	chambers=22	sigs=List(4.4.12, 3.4.4.12, 3.3.4.12)	regularOrbits=0,2,3,4	irregularOrbits=1	key=1,2,3,12|3;4,1,5,12|3;3,6,1,4|3;2,7,8,12|4;8,9,2,4|3;6,3,9,4|3;10,4,11,12|4;5,12,4,4|4;9,5,6,4|3;7,13,14,12|4;14,15,7,3|4;12,8,16,4|4;13,10,17,12|4;11,18,10,3|4;19,11,20,3|4;16,20,12,4|4;17,21,13,4|4;22,14,22,3|4;15,22,21,3|4;21,16,15,4|4;20,17,19,4|4;18,19,18,3|4;
z=3.3.6.6	claimed=7	n=3	chambers=11	sigs=List(3.3.6.6, 3.6.4.6, 4.6.6)	regularOrbits=0,1	irregularOrbits=2	key=1,2,1,3|4;3,1,4,3|4;2,3,5,3|4;5,6,2,6|4;4,7,3,6|4;6,4,6,6|4;8,5,9,6|4;7,10,11,6|3;11,9,7,4|4;10,8,10,6|3;9,11,8,4|3;
z=3.3.6.6	claimed=7	n=3	chambers=14	sigs=List(3.3.6.6, 3.6.5.6, 5.5.6)	regularOrbits=0,1	irregularOrbits=2	key=1,2,1,3|4;3,1,4,3|4;2,3,5,3|4;5,6,2,6|4;4,7,3,6|4;6,4,6,6|4;8,5,9,6|4;7,10,11,6|3;11,9,7,5|4;10,8,12,6|3;9,13,8,5|3;12,14,10,5|3;14,11,14,5|3;13,12,13,5|3;
z=3.3.6.6	claimed=7	n=3	chambers=12	sigs=List(3.3.6.6, 3.3.6.3.6, 3.6.6)	regularOrbits=0,1	irregularOrbits=2	key=1,2,1,3|4;3,1,4,3|4;2,3,5,3|5;5,6,2,6|4;4,7,3,6|5;6,4,6,6|4;8,5,9,6|5;7,10,11,6|3;11,12,7,3|5;10,8,10,6|3;9,11,8,3|3;12,9,12,3|5;
z=3.3.6.6	claimed=7	n=3	chambers=16	sigs=List(3.3.6.6, 3.4.6.3.6.4, 3.4.6)	regularOrbits=0,1	irregularOrbits=2,3	key=1,2,1,3|4;3,1,4,3|4;2,3,5,3|6;5,6,2,6|4;4,7,3,6|6;6,4,6,6|4;8,5,9,6|6;7,10,11,6|3;11,12,7,4|6;10,8,13,6|3;9,14,8,4|3;14,9,15,4|6;13,16,10,3|3;12,11,16,4|3;16,15,12,3|6;15,13,14,3|3;
z=3.3.6.6	claimed=7	n=3	chambers=18	sigs=List(3.3.6.6, 3.3.3.3.3.6.3.6, 3.3.6)	regularOrbits=0,1	irregularOrbits=2,3	key=1,2,1,3|4;3,1,4,3|4;2,3,5,3|8;5,6,2,6|4;4,7,3,6|8;6,4,6,6|4;8,5,9,6|8;7,10,11,6|3;11,12,7,3|8;10,8,13,6|3;9,14,8,3|3;15,9,15,3|8;13,16,10,3|3;17,11,16,3|3;12,17,12,3|8;18,13,14,3|3;14,15,18,3|8;16,18,17,3|8;
z=3.3.6.6	claimed=7	n=3	chambers=18	sigs=List(3.3.6.6, 3.3.3.6.3.6, 3.3.3.6)	regularOrbits=0,1	irregularOrbits=2,3	key=1,2,1,3|4;3,1,4,3|4;2,3,5,3|6;5,6,2,6|4;4,7,3,6|6;6,4,6,6|4;8,5,9,6|6;7,10,11,6|4;11,12,7,3|6;10,8,13,6|4;9,14,8,3|4;15,9,16,3|6;13,17,10,3|4;18,11,18,3|4;12,18,17,3|4;17,16,12,3|6;16,13,15,3|4;14,15,14,3|4;
z=3.4.4.6	claimed=3	n=3	chambers=22	sigs=List(3.4.4.6, 3.4.6.8, 3.6.8)	regularOrbits=0,1,2,3	irregularOrbits=4	key=1,2,3,4|4;2,1,4,4|4;3,5,1,4|4;4,6,2,6|4;7,3,8,4|4;9,4,10,6|4;5,11,12,4|4;12,10,5,3|4;6,13,14,6|3;14,8,6,3|4;11,7,15,4|4;8,16,7,3|4;17,9,18,6|3;10,19,9,3|3;15,17,11,6|4;19,12,20,3|4;13,15,21,6|4;21,22,13,8|3;16,14,22,3|3;22,21,16,8|4;18,20,17,8|4;20,18,19,8|3;
z=3.4.4.6	claimed=3	n=3	chambers=24	sigs=List(3.4.4.6, 3.4.4.6.4, 3.4.6)	regularOrbits=0,1,2,3,4	irregularOrbits=5	key=1,2,3,4|4;2,1,4,4|4;3,5,1,4|4;4,6,2,6|4;7,3,8,4|4;9,4,10,6|4;5,11,12,4|5;12,10,5,3|4;6,13,14,6|3;14,8,6,3|4;11,7,15,4|5;8,16,7,3|5;17,9,18,6|3;10,19,9,3|3;15,20,11,4|5;19,12,21,3|5;13,22,23,6|5;23,24,13,4|3;16,14,24,3|3;20,15,22,4|5;24,23,16,4|5;22,17,20,6|5;18,21,17,4|5;21,18,19,4|3;
z=3.3.6.6	claimed=7	n=3	chambers=11	sigs=List(3.3.6.6, 3.6.4.6, 4.6.6)	regularOrbits=0,1	irregularOrbits=2	key=1,2,1,3|4;3,1,4,3|4;2,3,5,3|4;5,6,2,6|4;4,7,3,6|4;8,4,6,6|4;9,5,10,6|4;6,9,8,6|3;7,8,11,6|3;11,10,7,4|4;10,11,9,4|3;
z=3.3.6.6	claimed=7	n=3	chambers=15	sigs=List(3.3.6.6, 3.3.3.6, 3.3.3.3.3.3.3)	regularOrbits=0,1	irregularOrbits=2,3	key=1,2,1,6|4;3,1,4,6|4;2,3,5,6|4;5,6,2,3|4;4,7,3,3|4;8,4,6,3|4;9,5,10,3|4;6,9,8,3|7;7,8,11,3|7;11,10,7,3|4;10,12,9,3|7;12,11,13,3|7;13,14,12,3|7;15,13,15,3|7;14,15,14,3|7;
z=3.3.6.6	claimed=7	n=3	chambers=13	sigs=List(3.3.6.6, 3.4.3.6, 3.3.4.4.4)	regularOrbits=0,1	irregularOrbits=2	key=1,2,1,6|4;3,1,4,6|4;2,3,5,6|4;5,6,2,3|4;4,7,3,3|4;8,4,6,3|4;9,5,10,3|4;6,9,8,3|5;7,8,11,3|5;11,10,7,4|4;10,12,9,4|5;13,11,13,4|5;12,13,12,4|5;
z=3.3.6.6	claimed=7	n=3	chambers=12	sigs=List(3.3.6.6, 3.3.6.3.6, 3.6.6)	regularOrbits=0,1	irregularOrbits=2	key=1,2,1,3|4;3,1,4,3|4;2,3,5,3|5;5,6,2,6|4;4,7,3,6|5;8,4,6,6|4;9,5,10,6|5;6,9,8,6|3;7,8,11,6|3;11,12,7,3|5;10,11,9,3|3;12,10,12,3|5;
z=3.3.6.6	claimed=7	n=3	chambers=12	sigs=List(3.3.6.6, 3.6.3.6.6, 3.3.6)	regularOrbits=0,1	irregularOrbits=2	key=1,2,1,6|4;3,1,4,6|4;2,3,5,6|5;5,6,2,3|4;4,7,3,3|5;8,4,6,3|4;9,5,10,3|5;6,9,8,3|3;7,8,11,3|3;11,12,7,6|5;10,11,9,6|3;12,10,12,6|5;
z=3.3.6.6	claimed=7	n=3	chambers=15	sigs=List(3.3.6.6, 3.3.3.3.3.3.3.6, 3.3.3)	regularOrbits=0,1	irregularOrbits=2,3	key=1,2,1,6|4;3,1,4,6|4;2,3,5,6|8;5,6,2,3|4;4,7,3,3|8;8,4,6,3|4;9,5,10,3|8;6,9,8,3|3;7,8,11,3|3;11,12,7,3|8;10,11,9,3|3;12,10,13,3|8;13,14,12,3|8;15,13,15,3|8;14,15,14,3|8;
z=3.3.6.6	claimed=7	n=3	chambers=13	sigs=List(3.3.6.6, 3.4.4.4.3.6, 3.3.4)	regularOrbits=0,1	irregularOrbits=2	key=1,2,1,6|4;3,1,4,6|4;2,3,5,6|6;5,6,2,3|4;4,7,3,3|6;8,4,6,3|4;9,5,10,3|6;6,9,8,3|3;7,8,11,3|3;11,12,7,4|6;10,11,9,4|3;13,10,13,4|6;12,13,12,4|6;
z=3.3.6.6	claimed=7	n=3	chambers=13	sigs=List(3.3.6.6, 3.4.4.3.6, 3.3.4.4)	regularOrbits=0,1	irregularOrbits=2	key=1,2,1,4|4;3,1,4,4|4;2,5,6,4|5;6,7,2,3|4;5,3,5,4|5;4,8,3,3|5;9,4,7,3|4;10,6,11,3|5;7,10,9,3|4;8,9,12,3|4;12,11,8,6|5;11,13,10,6|4;13,12,13,6|4;
z=3.3.6.6	claimed=7	n=3	chambers=13	sigs=List(3.3.6.6, 3.4.4.3.6, 3.3.4.4)	regularOrbits=0,1	irregularOrbits=2	key=1,2,1,6|4;3,1,4,6|4;2,3,5,6|5;5,6,2,3|4;4,7,3,3|5;8,4,6,3|4;9,5,10,3|5;6,9,8,3|4;7,8,11,3|4;11,12,7,4|5;10,13,9,4|4;13,10,12,4|5;12,11,13,4|4;
z=3.3.6.6	claimed=7	n=3	chambers=15	sigs=List(3.3.6.6, 3.3.3.3.6, 3.3.3.3.3.3)	regularOrbits=0,1	irregularOrbits=2	key=1,2,1,6|4;3,1,4,6|4;2,3,5,6|5;5,6,2,3|4;4,7,3,3|5;8,4,6,3|4;9,5,10,3|5;6,9,8,3|6;7,8,11,3|6;11,12,7,3|5;10,13,9,3|6;14,10,12,3|5;15,11,15,3|6;12,15,14,3|6;13,14,13,3|6;
z=3.3.6.6	claimed=7	n=3	chambers=15	sigs=List(3.3.6.6, 3.3.3.3.3.3.6, 3.3.3.3)	regularOrbits=0,1	irregularOrbits=2	key=1,2,1,6|4;3,1,4,6|4;2,3,5,6|7;5,6,2,3|4;4,7,3,3|7;8,4,6,3|4;9,5,10,3|7;6,9,8,3|4;7,8,11,3|4;11,12,7,3|7;10,13,9,3|4;14,10,14,3|7;15,11,13,3|4;12,15,12,3|7;13,14,15,3|7;
